name-english,name-greek,main-type,sub-type,description
Acratopotes,Ἀκρατοπότης,god,other,god of unmixed wine
Agdistis,Ἄγδιστις,god,other,phrygian hermaphroditic deity
Aphroditus,Ἀφρόδιτος,god,other,cyprian hermaphroditic aphrodite
Astraea,Αστραία,god,other,virgin goddess of justice
Aglaea,Αγλαΐα,god,other,"goddess of beauty, adornment, splendor and glory (charites; χάριτες)"
Euphrosyne,Εὐφροσύνη,god,other,"goddess of good cheer, joy, mirth, and merriment (charites; χάριτες)"
Thalia,Θάλεια,god,other,goddess of festive celebrations and rich and luxurious banquets (charites; χάριτες)
Hegemone,Ηγεμόνη,god,other,goddess of mastery (charites; χάριτες)
Antheia,Άνθεια,god,other,goddess of flowers and flowery wreaths (charites; χάριτες)
Pasithea,Πασιθέα,god,other,goddess of rest and relaxation (charites; χάριτες)
Cleta,Κλήτα,god,other,goddess of fame and glory (charites; χάριτες)
Phaenna,Φαέννα,god,other,goddess of gratitude (charites; χάριτες)
Eudaimonia,Ευδαιμονία,god,other,goddess of happiness (charites; χάριτες)
Euthymia,Ευθυμία,god,other,goddess of good mood (charites; χάριτες)
Calleis,Καλλείς,god,other,goddess of beauty (charites; χάριτες)
Paidia,Παιδία,god,other,goddess of amusement (charites; χάριτες)
Pandaisia,Πανδαισία,god,other,goddess of banquets (charites; χάριτες)
Pannychis,Παννυχίς,god,other,goddess of all-night festivities (charites; χάριτες)
Ceraon,Κεραων,god,other,"demi-god of the meal, specifically the mixing of wine (charites; χάριτες)"
Chrysus,Χρύσος,god,other,spirit of gold
Circe,Κίρκη,god,other,goddess-witch of aeaea
Syntribos,Σύντριβος,god,other,spirit which shatters pottery (daemones ceramici; δαίμονες κεραμικοί)
Smaragos,Σμάραγος,god,other,spirit which smashes pottery (daemones ceramici; δαίμονες κεραμικοί)
Asbetos,Ασβετος,god,other,spirit which chars pottery (daemones ceramici; δαίμονες κεραμικοί)
Sabaktes,Σαβάκτης,god,other,spirit which destroys pottery (daemones ceramici; δαίμονες κεραμικοί)
Omodamos,Ωμόδαμος,god,other,spirit which crudebakes pottery (daemones ceramici; δαίμονες κεραμικοί)
Deipneus,Δειπνεύς,god,other,"demi-god of the preparation of meals, specifically the making of bread"
Eileithyia,Εἰλείθυια,god,other,goddess of childbirth
Enyalius,Ενυάλιος,god,other,minor god of war
Enyo,Ἐνυώ,god,other,goddess of destructive war
Epidotes,Ἐπιδώτης,god,other, divinity who was worshipped at lacedaemon
Glycon,Γλύκων,god,other, snake god
Harpocrates,Ἁρποκράτης,god,other,god of silence
Hebe,Ήβη,god,other,goddess of youth and cup-bearer to the olympians
Hermaphroditus,Ἑρμάφρόδιτός,god,other,god of hermaphrodites and effeminate men
Eunomia,Ευνομία,god,hours,"spirit of good order, and springtime goddess of green pastures"
Eirene,Ειρήνη,god,hours,spirit of peace and goddess of the springtime
Thallo,Θαλλώ,god,hours,"goddess of spring buds and shoots, identified with eirene"
Auxo,Αυξώ,god,hours,goddess of spring growth
Karpo,Καρπώ,god,hours,goddess of the fruits of the earth
Pherousa,Φέρουσα,god,hours,goddess of substance and farm estates
Euporie,Ευπορίη,god,hours,goddess of abundance
Orthosie,Ορθοσίη,god,hours,goddess of prosperity
Auge,Αυγή,god,hours,first light of the morning
Anatolia,Ανατολία,god,hours,sunrise
Musica,Μουσική,god,hours, morning hour of music and study
Gymnastica,Γυμνασία,god,hours,morning hour of gymnastics/exercise
Nymphe,Νυμφή,god,hours," morning hour of ablutions (bathing, washing)"
Mesembria,Μεσημβρία,god,hours,noon
Sponde,Σπονδή,god,hours,libations poured after lunch
Acte,Ακτή,god,hours,second of the afternoon work hours
Hesperis,Έσπερίς,god,hours,evening
Dysis,Δύσις,god,hours,sunset
Arktos,Άρκτος,god,hours,"night sky, constellation"
Eiar,Είαρ,god,hours,spring
Theros,Θέρος,god,hours,summer
Pthinoporon,Φθινόπωρον,god,hours,autumn
Cheimon,Χειμών,god,hours,winter
Hymenaios,Ὑμέναιος,god,hours,god of marriage and marriage feasts
Ichnaea,Ιχναία,god,other,goddess of tracking
Iynx,Ιύνξ,god,other,goddess of the love charm
Matton,Μάττων,god,other,"demi-god of the meal, specifically the kneading of dough"
Aoide,Ἀοιδή,god,muse,muse of song
Arche,Αρχή,god,muse,muse of origins
Melete,Μελέτη,god,muse,muse of meditation and practice
Mneme,Μνήμη,god,muse,muse of memory
Thelxinoe,Θελξινόη,god,muse,muse charmer of minds
Calliope,Καλλιόπη,god,muse,muse of epic poetry
Clio,Κλειώ,god,muse,muse of history
Euterpe,Ευτέρπη,god,muse,muse of musical poetry
Erato,Ερατώ,god,muse,muse of lyric poetry
Melpomene,Μελπομένη,god,muse,muse of tragedy
Polyhymnia ,Πολυμνία,god,muse,muse of sacred poetry
Terpsichore,Τερψιχόρη,god,muse,muse of dance and choral poetry
Urania,Ουρανία,god,muse,muse of astronomy
Cephisso,Κεφισσώ,god,muse,daughter of Apollo
Apollonis,Απολλωνίς,god,muse,daughter of Apollo
Borysthenis,Βορυσθενίς,god,muse,daughter of Apollo
Hypate,Υπάτη,god,muse, upper chord of the lyre
Mese,Μέση,god,muse, middle chord of the lyre
Nete,Νήτη,god,muse, lowest chord of the lyre
Polymatheia,Πολυμάθεια,god,muse,muse of knowledge
Palaestra,Παλαίστρα,god,other,goddess of wrestling
Rhapso,Ραψώ,god,nymph,minor goddess or nymph whose name apparently refers to sewing
Alexiares,Αλεξιαρης,god,other,son of heracles presiding over the defence of fortified towns and citadels
Anicetus,Ανικητος,god,other,son of heracles presiding over the defence of fortified towns and citadels
Auxesia,Αυξησία,god,other,local fertility goddess
Damia,Δαμία,god,other,local fertility goddess
